customer_id,customer_name,email,phone,gender,date_of_birth,city,registration_date
CUST00001,Faith Ochieng,faith.ochieng1@example.com,793227852.0,Male,1961-02-06,Kitale,2024-04-07
CUST00002,Samuel Wambui,samuel.wambui2@example.com,738853311.0,Female,1995-06-21,Kisumu,2025-09-20
CUST00003,Kevin Odhiambo,kevin.odhiambo3@example.com,753089381.0,Male,1972-08-04,Mombasa,2025-11-29
CUST00004,Amina Ochieng,amina.ochieng4@example.com,797750084.0,Male,2005-04-16,Nairobi,2024-07-31
CUST00005,Irene Kiplagat,irene.kiplagat5@example.com,768102432.0,Male,1982-10-28,Nairobi,2024-05-20
CUST00006,Brian Kiplagat,brian.kiplagat6@example.com,716778387.0,Female,1960-02-26,Naivasha,2023-01-23
CUST00007,Brian Njoroge,brian.njoroge7@example.com,783380035.0,Male,,Nakuru,2023-10-12
CUST00008,Martin Chebet,martin.chebet8@example.com,773657116.0,Male,2008-03-21,Thika,2023-03-24
CUST00009,Grace Mutua,grace.mutua9@example.com,788257027.0,Female,1970-11-20,Mombasa,2023-05-14
CUST00010,Wanjiku Chebet,wanjiku.chebet10@example.com,735659848.0,Male,1962-06-15,Malindi,2023-04-08
CUST00011,Sarah Nyongesa,sarah.nyongesa11@example.com,778157930.0,Female,1993-03-15,Nakuru,2023-09-22
CUST00012,Wanjiku Ochieng,wanjiku.ochieng12@example.com,755110465.0,Male,1988-01-20,Nairobi,2025-12-29
CUST00013,Brian Otieno,brian.otieno13@example.com,761517902.0,Female,1966-09-24,Eldoret,2025-10-28
CUST00014,Peter Wambui,peter.wambui14@example.com,763559316.0,Male,2009-01-07,Thika,2025-12-19
CUST00015,Wilson Akinyi,wilson.akinyi15@example.com,736930261.0,Male,2005-01-17,Kisumu,2023-10-28
CUST00016,Peter Muthoni,peter.muthoni16@example.com,732316781.0,Female,1968-07-31,Nairobi,2025-01-10
CUST00017,Ruth Mutua,ruth.mutua17@example.com,786198822.0,Female,1991-01-29,Thika,2024-04-01
CUST00018,Grace Odhiambo,grace.odhiambo18@example.com,734588879.0,Male,2007-08-30,Nairobi,2023-09-26
CUST00019,Wilson Kiptoo,wilson.kiptoo19@example.com,711288986.0,Male,1975-08-06,Mombasa,2023-01-28
CUST00020,Lilian Kimani,lilian.kimani20@example.com,731814039.0,Female,2010-08-31,Nairobi,2025-05-28
CUST00021,Irene Otieno,irene.otieno21@example.com,788929693.0,Female,1999-03-22,Kitale,2024-05-02
CUST00022,Lilian Cheruiyot,lilian.cheruiyot22@example.com,773601211.0,Female,1963-12-03,Nairobi,2024-04-13
CUST00023,Sarah Maina,sarah.maina23@example.com,750618244.0,Male,1989-08-25,Nairobi,2024-10-03
CUST00024,Brian Akinyi,brian.akinyi24@example.com,793609932.0,Female,,Nairobi,2025-01-10
CUST00025,Hassan Cheruiyot,hassan.cheruiyot25@example.com,755626608.0,Female,2006-03-23,Thika,2023-07-29
CUST00026,James Kimani,james.kimani26@example.com,715646105.0,Male,2003-01-18,Nairobi,2023-07-27
CUST00027,James Kiplagat,james.kiplagat27@example.com,733707223.0,Male,1984-07-29,Nakuru,2025-12-08
CUST00028,Faith Mwangi,faith.mwangi28@example.com,777874168.0,Male,1962-09-06,Kisumu,2023-03-21
CUST00029,Faith Njoroge,,783976347.0,Female,1975-05-30,Nairobi,2024-12-20
CUST00030,Ruth Kariuki,ruth.kariuki30@example.com,775373388.0,Male,1995-01-18,Naivasha,2025-09-20
CUST00031,Martin Mutua,martin.mutua31@example.com,711030224.0,Female,1982-08-07,Nairobi,2023-01-16
CUST00032,Wanjiku Kiplagat,wanjiku.kiplagat32@example.com,731936113.0,Female,1979-04-04,Mombasa,2024-12-28
CUST00033,Joy Akinyi,joy.akinyi33@example.com,761612319.0,Female,1996-10-24,Mombasa,2023-09-30
CUST00034,Amina Akinyi,amina.akinyi34@example.com,738187512.0,Female,2009-05-14,Nakuru,2025-08-31
CUST00035,James Nyongesa,james.nyongesa35@example.com,716796238.0,Female,1985-05-10,Nakuru,2024-05-30
CUST00036,Wilson Wambui,wilson.wambui36@example.com,790195971.0,Female,2004-05-18,Nairobi,2025-11-09
CUST00037,Mercy Mwangi,mercy.mwangi37@example.com,771727787.0,Female,1983-04-14,Nakuru,2024-08-18
CUST00038,Grace Kariuki,grace.kariuki38@example.com,795667726.0,Female,1999-06-05,Mombasa,2025-12-21
CUST00039,Grace Odhiambo,grace.odhiambo39@example.com,734335210.0,Male,1981-02-06,Eldoret,2023-07-28
CUST00040,Samuel Kiplagat,samuel.kiplagat40@example.com,771936808.0,Female,1993-11-25,Nairobi,2025-07-15
CUST00041,Ruth Chebet,,760117288.0,Female,1961-02-11,Nairobi,2024-09-16
CUST00042,Amina Odhiambo,amina.odhiambo42@example.com,799531955.0,Male,1991-04-21,Nairobi,2023-05-14
CUST00043,Mercy Wekesa,mercy.wekesa43@example.com,754787036.0,Female,1974-11-22,Kakamega,2025-07-27
CUST00044,Kevin Akinyi,kevin.akinyi44@example.com,765017045.0,Female,,Nairobi,2023-06-22
CUST00045,Mercy Wekesa,mercy.wekesa45@example.com,772512252.0,Female,1994-01-09,Nakuru,2024-11-24
CUST00046,Naomi Kamau,naomi.kamau46@example.com,767211314.0,Male,,Mombasa,2025-02-15
CUST00047,Samuel Cheruiyot,samuel.cheruiyot47@example.com,771582321.0,Male,1994-10-24,Nairobi,2025-01-10
CUST00048,Sarah Akinyi,sarah.akinyi48@example.com,740271936.0,Male,2003-09-04,Mombasa,2023-02-28
CUST00049,Grace Mwangi,grace.mwangi49@example.com,733498925.0,Female,1997-11-15,Nairobi,2024-12-22
CUST00050,Kevin Odhiambo,kevin.odhiambo50@example.com,743824919.0,Male,1966-05-26,Nakuru,2025-10-15
CUST00051,Irene Kiptoo,irene.kiptoo51@example.com,767397483.0,Male,,Nairobi,2024-11-28
CUST00052,Irene Cheruiyot,irene.cheruiyot52@example.com,720276984.0,Male,1960-01-12,Nairobi,2023-01-10
CUST00053,Kevin Wambui,kevin.wambui53@example.com,750834868.0,Female,1967-06-25,Mombasa,2023-11-04
CUST00054,Peter Otieno,peter.otieno54@example.com,772593318.0,Male,,Malindi,2023-06-05
CUST00055,Martin Wekesa,martin.wekesa55@example.com,786482972.0,Female,,Mombasa,2023-02-21
CUST00056,Samuel Otieno,samuel.otieno56@example.com,792289586.0,Female,1975-11-20,Machakos,2024-06-28
CUST00057,Lilian Koech,lilian.koech57@example.com,784408342.0,Female,2005-10-19,Nairobi,2025-08-22
CUST00058,Carol Otieno,carol.otieno58@example.com,715917806.0,Male,2006-12-19,Nairobi,2025-12-24
CUST00059,Carol Nyongesa,carol.nyongesa59@example.com,771128552.0,Male,1982-03-06,Nairobi,2024-09-01
CUST00060,Wanjiku Mutua,wanjiku.mutua60@example.com,744608580.0,Male,1980-03-15,Nakuru,2023-01-03
CUST00061,Ruth Akinyi,ruth.akinyi61@example.com,782012454.0,Male,1967-11-12,Nairobi,2023-04-16
CUST00062,Irene Chebet,irene.chebet62@example.com,740793183.0,Female,1995-02-13,Nairobi,2023-07-20
CUST00063,Amina Kamau,amina.kamau63@example.com,753092413.0,Female,2003-11-14,Nairobi,2023-04-19
CUST00064,Faith Mutua,faith.mutua64@example.com,793809984.0,Male,2008-04-28,Mombasa,2025-02-02
CUST00065,Brian Mutua,brian.mutua65@example.com,775334647.0,Male,2004-01-17,Nairobi,2023-05-29
