customer_id,customer_name,email,phone,gender,date_of_birth,city,registration_date
CUST00001,Faith Ochieng,faith.ochieng1@example.com,0793227852,Male,1961-02-06,Kitale,2024-04-07
CUST00002,Samuel Wambui,samuel.wambui2@example.com,0738853311,Female,1995-06-21,Kisumu,2025-09-20
CUST00003,Kevin Odhiambo,kevin.odhiambo3@example.com,0753089381,Male,1972-08-04,Mombasa,2025-11-29
CUST00004,Amina Ochieng,amina.ochieng4@example.com,0797750084,Male,2005-04-16,Nairobi,2024-07-31
CUST00005,Irene Kiplagat,irene.kiplagat5@example.com,0768102432,Male,1982-10-28,Nairobi,2024-05-20
CUST00006,Brian Kiplagat,brian.kiplagat6@example.com,0716778387,Female,1960-02-26,Naivasha,2023-01-23
CUST00007,Brian Njoroge,brian.njoroge7@example.com,0783380035,Male,2012-04-09,Nakuru,2023-10-12
CUST00008,Martin Chebet,martin.chebet8@example.com,0773657116,Male,2008-03-21,Thika,2023-03-24
CUST00009,Grace Mutua,grace.mutua9@example.com,0788257027,Female,1970-11-20,Mombasa,2023-05-14
CUST00010,Wanjiku Chebet,wanjiku.chebet10@example.com,0735659848,Male,1962-06-15,Malindi,2023-04-08
CUST00011,Sarah Nyongesa,sarah.nyongesa11@example.com,0778157930,Female,1993-03-15,Nakuru,2023-09-22
CUST00012,Wanjiku Ochieng,wanjiku.ochieng12@example.com,0755110465,Male,1988-01-20,Nairobi,2025-12-29
CUST00013,Brian Otieno,brian.otieno13@example.com,0761517902,Female,1966-09-24,Eldoret,2025-10-28
CUST00014,Peter Wambui,peter.wambui14@example.com,0763559316,Male,2009-01-07,Thika,2025-12-19
CUST00015,Wilson Akinyi,wilson.akinyi15@example.com,0736930261,Male,2005-01-17,Kisumu,2023-10-28
CUST00016,Peter Muthoni,peter.muthoni16@example.com,0732316781,Female,1968-07-31,Nairobi,2025-01-10
CUST00017,Ruth Mutua,ruth.mutua17@example.com,0786198822,Female,1991-01-29,Thika,2024-04-01
CUST00018,Grace Odhiambo,grace.odhiambo18@example.com,0734588879,Male,2007-08-30,Nairobi,2023-09-26
CUST00019,Wilson Kiptoo,wilson.kiptoo19@example.com,0711288986,Male,1975-08-06,Mombasa,2023-01-28
CUST00020,Lilian Kimani,lilian.kimani20@example.com,0731814039,Female,2010-08-31,Nairobi,2025-05-28
CUST00021,Irene Otieno,irene.otieno21@example.com,0788929693,Female,1999-03-22,Kitale,2024-05-02
CUST00022,Lilian Cheruiyot,lilian.cheruiyot22@example.com,0773601211,Female,1963-12-03,Nairobi,2024-04-13
CUST00023,Sarah Maina,sarah.maina23@example.com,0750618244,Male,1989-08-25,Nairobi,2024-10-03
CUST00024,Brian Akinyi,brian.akinyi24@example.com,0793609932,Female,2011-12-06,Nairobi,2025-01-10
CUST00025,Hassan Cheruiyot,hassan.cheruiyot25@example.com,0755626608,Female,2006-03-23,Thika,2023-07-29
CUST00026,James Kimani,james.kimani26@example.com,0715646105,Male,2003-01-18,Nairobi,2023-07-27
